code,first_subject,second_subject,univers
5B071400,Математика,Физика,['Академия гражданской авиации (АГА)']
5B070200,Математика,Физика,"['Атырауский университет нефти и газа (АУНГ)', 'Карагандинский государственный индустриальный университет (КГИУ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Екибастузский инженерно-технический институт имени академика К.Сатпаева (ЭИТИ)', 'Казахская академия транспорта и коммуникаций имени М. Тынышпаева (КазАТК им. Тынышпаева)', 'Алматинский технологический университет (АТУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Актюбинский университет имени С. Баишева (АУ им. Баишева)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Каспийский общественный университет (Caspian University)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Рудненский индустриальный институт (РИИ)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Казахско-Русский международный университет (КРМУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Алматинский университет энергетики и связи (АУЭС)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Казахский национальный аграрный университет (КазНАУ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)']"
5B080600,Математика,Физика,"['Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Костанайский инженерно-экономический университет им.М.Дулатова (КИНЭУ им. Дулатова)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Казахский национальный аграрный университет (КазНАУ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)']"
5B080100,Биология,Химия,"['Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Костанайский инженерно-экономический университет им.М.Дулатова (КИНЭУ им. Дулатова)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Актюбинский университет имени С. Баишева (АУ им. Баишева)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Казахский национальный аграрный университет (КазНАУ)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)']"
5B020800,Всемирная история,География,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)']"
5B051500,Казахский /Русский язык,Казахская /Русская литература,['Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)']
5B042000,Творческий экзамен,Творческий экзамен,"['Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Карагандинский государственный технический университет (КарГТУ)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)']"
5B061100,Математика,Физика,"['Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)']"
5B073100,Математика,Физика,"['Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Атырауский университет нефти и газа (АУНГ)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Западно-Казахстанский инновационно-технологический университет (ЗКИТУ)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Кокшетауский университет имени А. Мырзахметова (КУАМ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Казахский национальный аграрный университет (КазНАУ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Алматинский университет энергетики и связи (АУЭС)', 'Казахская академия транспорта и коммуникаций имени М. Тынышпаева (КазАТК им. Тынышпаева)', 'Казахский университет технологии и бизнеса (КазУТБ)', 'Рудненский индустриальный институт (РИИ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)']"
5B091000,Казахский /Русский язык,Казахская /Русская литература,"['Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Университет «Сырдария» (Сырдарья)']"
